Year,Total Output,All Livestock and Products, Livestock and Products: Meat, Livestock and Products: Dairy, Livestock and Products: Poultry and Eggs,All Crops, Crops: Food Grains, Crops: Feed Crops, Crops: Oil Crops, Crops: Vegetables and Melons, Crops: Fruits and Tree Nuts, Crops: Other
1960,175550,87662,55842,19576,11371,84423,7545,37693,6917,10331,10413,14140
1961,177680,92102,58781,20156,12343,83317,6917,35151,7964,10907,10761,14362
1962,179290,91780,58629,20372,12260,84855,6408,36237,8034,11074,10956,15303
1963,185550,94208,61690,20296,12528,88113,6709,38195,8388,11118,10532,16020
1964,184491,97398,64698,20697,12989,85373,7435,35022,8426,10734,10645,15868
1965,189365,95287,62474,20307,13398,90926,7640,39570,9929,10828,11192,14990
1966,188802,97392,64866,19660,14177,89180,7689,39479,10187,11502,11593,12728
1967,195078,99189,66844,19510,14831,93205,8673,43167,10497,12064,11490,11584
1968,198030,98958,67605,19337,14404,96180,9194,41936,11998,12807,11264,12855
1969,201959,99401,68129,19205,14785,99754,8483,43423,12137,12281,13388,14472
1970,199198,102835,71211,19412,15399,94559,7939,40324,12320,12036,12592,13610
1971,212708,103927,71925,19724,15591,105875,9327,49098,13566,12269,13188,13285
1972,213612,104368,71154,20012,16002,106396,8916,47877,13855,12454,11924,15181
1973,223518,106308,74670,19265,15521,113117,9825,49433,16518,12366,14371,15144
1974,211599,106898,74948,19307,15646,102694,10433,42317,13313,12310,14725,14529
1975,229233,103156,70490,19299,15263,117504,12368,49049,16259,13094,15778,15489
1976,230294,106565,72130,20138,16322,116684,12301,49534,13894,13481,15270,16468
1977,241137,105675,68882,20586,16721,126588,11535,52747,18852,13851,16165,17368
1978,244215,104365,66738,20408,17464,129919,10791,56658,19906,14466,16025,16404
1979,258898,105807,66249,20764,18870,142359,12585,59672,24197,15103,17179,17418
1980,250432,110858,70724,21657,19115,129571,14003,51070,18748,15195,18702,16629
1981,272586,113647,71381,22413,19878,147965,16545,60695,20836,15363,18320,19679
1982,276527,112753,70139,22873,19936,149570,16049,62025,23099,16208,18255,18036
1983,237620,113996,70970,23575,20068,114444,13598,40239,17336,16079,18180,15232
1984,269917,112263,69819,22749,20581,144818,15064,59653,20236,16525,18067,19207
1985,281869,115066,68729,24147,21448,151923,14129,65714,22241,17457,17812,19035
1986,270938,115189,69023,24177,22309,142630,12396,62339,20380,18026,17205,17404
1987,274244,116986,68283,24128,24333,143080,12416,55224,20475,19127,19727,20916
1988,258671,117381,66752,24538,24820,126132,11294,41153,16967,18256,21171,22079
1989,279616,118175,66710,24366,25927,143776,12389,55344,20315,18835,20231,21156
1990,293043,121019,67200,25034,27664,153695,15980,57040,20441,19455,19903,24247
1991,294192,124185,69454,25034,28866,152190,12193,55718,22085,20419,19675,25636
1992,311369,127293,70993,25589,30090,166879,14958,64678,23421,21278,20549,25955
1993,296286,128450,70878,25578,31427,150441,14297,49929,20119,22057,22092,25630
1994,330984,135466,76300,26103,32935,177795,14413,65853,27014,24368,22968,27743
1995,313700,138047,76919,26411,34172,157987,13395,53966,23356,23086,21372,26593
1996,328730,137461,73964,26204,36221,171549,13862,63113,25236,23871,21440,27812
1997,341819,140193,75307,26576,36982,180098,15025,62971,28131,24120,25338,29029
1998,344163,141140,75397,26790,37616,177756,15392,64330,29060,23813,23148,26785
1999,352114,144677,75525,27725,39282,179720,14467,64194,28050,25993,23659,27855
2000,354056,144832,73318,28532,40087,183087,13904,65132,28809,25611,25774,28564
2001,355892,145829,75040,28195,40630,182354,12810,63887,30624,24438,25131,29501
2002,348646,147008,73040,29023,42428,174843,10989,60281,28684,25202,25236,28384
2003,356194,149700,73044,29071,44991,182040,14638,66119,26194,24704,25479,29104
2004,372532,147272,73668,29156,42832,199287,14129,72890,32494,25676,26225,32043